postal_code,lat,lon,place
74305,59.3386,25.3288,Kehra
74306,59.33,25.3334,Kehra
74307,59.3309,25.3329,Kehra
74309,59.3095,25.3528,Kaunissaare
74310,59.3253,25.3423,Lehtmetsa
74311,59.3585,25.3831,Looküla
74312,59.34,25.2947,Salumetsa
74313,59.3242,25.417,Vikipalu
74314,59.3541,25.3045,Paasiku
74315,59.3507,25.3281,Kehra
74316,59.3395,25.3568,Ülejõe
74401,59.2422,25.3246,Alavere
74402,59.386,25.3615,Soodla
74403,59.2177,25.376,Rasivere
74404,59.2612,25.3029,Rooküla
74405,59.2672,25.402,Arava
74407,59.2435,25.351,Uuearu
74408,59.2232,25.4638,Vetla
74409,59.2786,25.3887,Pikva
74410,59.1958,25.4365,Voose
74411,59.3799,25.2996,Anija
74412,59.3942,25.445,Härmakosu
74413,59.3703,25.3134,Kuusemäe
74414,59.372,25.3522,Lilli
74415,59.3968,25.3049,Partsaare
74416,59.3829,25.4354,Raudoja
74417,59.3884,25.2644,Aavere
74501,59.2844,25.6189,Aegviidu
74502,59.3265,25.6323,Pillapalu
74503,59.2873,25.5241,Mustjõe
75215,59.2791,25.2763,Lükati
75219,59.3648,25.252,Kihmla
75220,59.3527,25.1946,Linnakse
75221,59.3429,25.2419,Parila
75226,59.3704,25.2163,Salumäe
76611,59.346,24.4389,Kütke
76614,59.3258,24.4492,Kumna
76617,59.3244,24.4725,Tutermaa
76704,59.377,24.3525,Adra
76706,59.3996,24.3132,Türisalu
76707,59.362,24.4097,Humala
76901,59.4081,24.5502,Laabi
76902,59.403,24.5696,Laabi
76903,59.3904,24.4091,Vääna
76904,59.4409,24.4793,Ilmandu
76905,59.4587,24.4441,Muraste
76906,59.4333,24.5156,Rannamõisa
76907,59.4637,24.3975,Suurupi
76908,59.425,24.4623,Sõrve
76909,59.4343,24.3718,Vääna-Jõesuu
76910,59.4358,24.3863,Viti
76912,59.4148,24.6017,Harkujärve
76916,59.4222,24.5844,Tiskre
76917,59.406,24.3981,Vaila
76918,59.3807,24.4504,Vahi
76919,59.4107,24.3514,Naage
76920,59.4032,24.3675,Naage
76921,59.4184,24.4234,Liikva
76922,59.4074,24.5743,Laabi
76923,59.43,24.6021,Harkujärve
76924,59.4352,24.5684,Tiskre
76925,59.4561,24.4776,Meriküla
74114,59.4465,24.9711,Liivamäe
74115,59.4981,25.0235,Kallavere
74120,59.4818,24.9961,Uusküla
74121,59.4832,25.0415,Kallavere
74122,59.5008,25.045,Saviranna
74201,59.4331,24.9464,Loo
74202,59.4469,25.1312,Jõelähtme
74203,59.5127,25.1867,Ihasalu
74204,59.4289,25.0958,Kostivere
74205,59.4187,25.2289,Jägala
74206,59.4564,24.9142,Iru
74207,59.439,24.9662,Liivamäe
74208,59.4416,24.921,Nehatu
74209,59.418,24.9967,Saha
74210,59.4307,25.0254,Maardu
74211,59.5178,25.2719,Kaberneeme
74212,59.4541,25.1772,Jägala-Joa
74213,59.4743,25.156,Jõesuu
74214,59.4513,25.1611,Koila
74215,59.5459,25.2692,Koipsi
74216,59.4975,25.304,Haapse
74217,59.4723,25.1342,Manniva
74218,59.4944,25.3238,Kullamäe
74219,59.5217,25.3123,Rohusi
74220,59.4882,25.0679,Ülgase
74221,59.4562,25.0488,Võerdla
74222,59.4582,25.0949,Rebala
74223,59.4523,25.2113,Ruu
74224,59.441,25.1727,Koogi
74225,59.4879,25.1026,Kostiranna
74226,59.5261,25.1561,Neeme
74227,59.5755,25.2281,Rammu
74228,59.4419,25.0969,Loo
74229,59.4299,25.0781,Vandjala
74230,59.4191,25.1289,Parasmäe
75222,59.3861,25.2189,Sambu
75224,59.3981,25.185,Haljava
75225,59.385,25.1495,Aruaru
75401,59.3067,24.8351,Kiili
75402,59.2532,24.8143,Arusta
75403,59.3495,24.7802,Kangru
75404,59.3273,24.7749,Luige
75405,59.2511,24.8335,Kurevere
75406,59.2754,24.9184,Metsanurga
75407,59.2755,24.8738,Nabala
75408,59.2677,24.8367,Paekna
75409,59.2705,24.7937,Sookaera
75410,59.2705,24.8928,Sõgula
75411,59.2476,24.8954,Sõmeru
75413,59.3286,24.8141,Vaela
75414,59.2543,24.8544,Piissoo
75415,59.3136,24.7844,Sausti
75416,59.2889,24.8558,Lähtse
75417,59.324,24.859,Mõisaküla
75001,59.0994,25.3558,Ardu
75002,59.1046,25.1677,Habaja
75003,59.0418,25.223,Kadja
75004,59.0122,25.3,Aela
75005,59.0889,25.2883,Katsina
75006,59.1255,25.3654,Kiruvere
75007,59.1861,25.3748,Laane
75008,59.1094,25.4043,Kõrvenurga
75009,59.0865,25.2434,Kõue
75010,59.0789,25.3311,Kukepala
75011,59.1476,25.3205,Paunküla
75012,59.0726,25.2057,Nutu
