postal_code,lat,lon,place
62001,54.4,24.05,SB „Pušelė“
62014,54.4,24.05,Alytus
63001,54.4,24.05,Alytus
66001,54.0167,23.9667,Druskininkai
66007,54.0167,23.9667,Neravų k.
67027,54.0909,23.8587,Raudonikių k.
67035,54.0,23.65,Gerdašių k.
64001,54.3667,24.3333,Kaniūkų k.
64005,54.3667,24.3333,Laukininkų k.
64009,54.3667,24.3333,Bogušiškių k.
64017,54.4,24.0067,Jaujakaimio k.
64021,54.3,24.0333,Balninkų k.
64025,54.3,24.0333,Milastonių k.
64029,54.3,24.0333,Atesninkų k.
64037,54.4,23.65,Šarkiškių k.
64041,54.4333,23.7667,Verebiejų k.
64045,54.4333,23.7667,Kalesninikų k.
64053,54.4,24.0067,Genių k.
64057,54.4,24.0067,Aleksandravos k.
64061,54.5,24.25,Butrimiškių k.
64065,54.5,24.25,SB „Versmė“
64069,54.5,24.25,Užukalnių k.
67067,54.3667,23.4333,Liepinės k.
65001,54.25,24.55,Giražerio k.
65007,54.25,24.55,Ryliškių k.
65011,54.2542,24.4958,Kaniavos k.
65023,54.2542,24.4958,Piesčių k.
65027,54.2542,24.4958,Marcinkonių k.
65031,54.1667,24.1667,Genių k.
65035,54.1667,24.1667,Utiekos k.
65039,54.1667,24.1667,Milioniškės k.
65043,54.2542,24.4958,Bieniūnų k.
65051,54.2542,24.4958,Aleksandravos k.
65055,54.2542,24.4958,Voniškių k.
65059,54.2542,24.4958,Kuklių k.
65063,54.35,24.7167,Naujųjų Naniškių k.
65067,54.35,24.7167,Valkininkų glžk. st.
65071,54.25,24.55,Biekšių k.
65075,54.25,24.55,SB „Beržupis“
65079,54.25,24.55,Margių k.
67001,54.2333,23.5167,Nemajūnų k.
67006,54.2333,23.5167,Prapuntų k.
67010,54.2333,23.8167,Paliūnų k.
67014,54.2333,23.8167,Gudonių k.
67019,54.2333,23.8167,Kanaukų k.
67039,54.0,23.65,Gervelių k.
67043,54.1,23.7,Veisiejai
67047,54.1,23.7,Brinių k.
67055,54.2134,23.6198,Natalinos k.
67071,54.3833,23.55,Krosna
67083,54.3,23.4333,Gumbelių k.
59001,54.6167,24.0333,Birštonas
59009,54.6167,24.0333,Birštonas
44001,54.9,23.9,Kaunas
44037,54.9,23.9,Kaunas
45001,54.9,23.9,Kaunas
45009,54.9,23.9,SB „Metalas“
46001,54.9,23.9,Kaunas
46005,54.9,23.9,Kaunas
47001,54.9,23.9,Kaunas
47009,54.9,23.9,SB „Pušynėlis“
47015,54.9,23.9,SB „Kampas“
48001,54.9,23.9,Kaunas
48005,54.9,23.9,Kaunas
48009,54.9,23.9,Kaunas
49001,54.9,23.9,Kaunas
50001,54.9,23.9,Kaunas
50019,54.9,23.9,Kaunas
51001,54.9,23.9,Kaunas
52001,54.9,23.9,SB „Amaliai“
