postal_code,lat,lon,place
5101,56.6448,25.2299,Aizkraukle
5134,56.4587,25.4858,Jaunjelgavas
5111,56.4782,25.2189,Daudzeva
5124,56.6114,25.3608,Ziedāni
5123,56.6121,25.4802,Lielziedi
5128,56.5698,25.4976,Staburags
5130,56.4587,25.4858,Sunākste
5120,56.6338,25.9095,Krievciems
5129,56.6007,25.5127,Rīteri
5109,56.7115,25.6883,Odziena
5135,56.4587,25.4858,Vecbebri
5108,56.7929,25.5937,Irši
5113,56.6516,25.4364,Koknese
5133,56.4587,25.4858,Ērberģe
5118,56.2028,25.3075,Nereta
5110,56.1923,25.1717,Pilskalne
5112,56.3266,25.2468,Zalve
5125,56.645,25.1206,Līči
4301,57.4183,27.0006,Aizupītes
4333,57.4061,26.8908,Strautiņi
4341,57.3333,27.0333,Anna
4344,57.3726,26.6758,Jaunzemi
4350,57.4387,27.1158,Kolberģis
4340,57.2838,27.0684,Jaunanna
4336,57.5272,26.8704,Jaunlaicene
4342,57.3234,26.8856,Kalncempji
4354,57.3432,27.4716,Liepna
4359,57.362,27.1639,Brenci
4358,57.3383,27.2346,Mālupe
4351,57.4912,27.1944,Mārkalne
4352,57.4762,27.4402,Pededze
4335,57.5933,26.9445,Korneti
4345,57.359,26.7771,Zeltiņi
4332,57.5334,27.0614,Ziemeri
4501,57.1466,27.3787,Salmaņi
4561,57.062,27.3037,Ozolsala
4590,57.0929,27.3523,Krievkalns
4591,57.1122,27.3857,Mežarija
4576,56.8398,27.1239,Pelerijas
4567,57.034,27.5346,Bilga
4595,56.9786,27.5607,Begunova
4573,56.8391,27.3691,Mežupe
4574,56.8158,27.276,Runcene
4566,57.1755,27.1904,Fabrika
4592,57.0525,27.4822,Ščeglova
4572,56.9349,27.4129,Kļavusala
4562,57.0059,27.3193,Doburūcis
4570,56.9742,27.1612,Gailīši
4571,56.9513,27.3819,Upenieki
4580,57.2199,27.3688,Valentinova
4582,57.2381,27.4978,Dubudeksnis
4583,57.172,27.6851,Rači
4586,57.124,27.6353,Zaiceva
4587,57.0696,27.6405,Olutova
4584,57.243,27.6925,Sola
4585,57.2304,27.7666,Upmala
4577,56.9156,27.1685,Benislava
4594,56.922,27.5053,Lauruti
3907,56.3122,24.5206,Budberga
3901,56.4004,24.151,Janeikas
3908,56.3604,24.2899,Ceraukste
3910,56.4692,24.1734,Code
3913,56.5212,24.3499,Lambārte
3929,56.4838,24.3463,Dāviņi
3931,56.3127,24.2068,Pamūša
3914,56.3429,24.1059,Bērzi
3918,56.4424,24.0577,Mežotne
3926,56.5084,24.0988,Garoza
3915,56.3459,24.4553,Jaunsaule
3932,56.4274,24.2964,Likverteni
3936,56.4404,24.4077,Kūdra
3921,56.4285,23.9685,Punslavas
3917,56.3758,23.9298,Svitene
3927,56.4456,23.9272,Bērstele
3905,56.4503,24.5983,Gaisma
5115,56.3718,25.2537,Kurmene
3924,56.3815,24.6456,Putni
3925,56.5379,24.5275,Stelpe
5106,56.5647,24.9286,Valle
3906,56.589,24.398,Misa
3930,56.4076,24.3251,Vecumnieku
3933,56.5971,24.4857,Piebalgas
4136,57.2742,25.327,Krīvi
4108,57.223,24.9615,Ratnieki
4139,57.2186,25.2401,Spāre
4141,57.1946,25.3922,Ģikši
4101,57.2099,25.3043,Amata
4112,57.1052,25.3823,Nītaure
4143,57.1234,25.5136,Sērmūkši
4113,57.038,25.3625,Annas
4125,57.1775,26.0284,Jaunpiebalga
4133,57.1731,25.8412,Melnbārži
4128,57.3844,25.4256,Liepa
4129,57.2354,25.6532,Mārsnēni
4126,57.3226,25.3305,Strautmaļi
4154,57.3986,25.0159,Jāņmuiža
4116,57.2802,25.4955,Bērzkrogs
